2069.4556093226242
3.2666101766840794
This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   672254
Number of nonzeros in inequality constraint Jacobian.:    68250
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    74504
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    74504
                     variables with only upper bounds:        0
Total number of equality constraints.................:    69504
Total number of inequality constraints...............:    28650
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:     1050
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  79 3.0200457e+004 7.31e+000 2.20e+003  -0.3 8.26e+000    -  3.37e-001 6.93e-001H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 2.9394206e+004 2.45e+000 1.36e+003  -0.3 5.10e+000    -  8.07e-001 1.00e+000F  1
  81 2.7844119e+004 8.16e-001 1.46e+002  -0.8 2.13e+000    -  1.00e+000 1.00e+000h  1
  82 2.5568559e+004 1.80e+001 7.01e+002  -0.5 1.37e+001    -  1.00e+000 1.00e+000f  1
  83 2.5412669e+004 6.27e+000 1.53e+003  -0.6 1.35e+000  -0.8 7.65e-001 1.00e+000h  1
  84 2.5811848e+004 1.43e+001 1.07e+003  -0.3 9.49e+000    -  1.00e+000 5.52e-001f  1
  85 2.9957145e+004 1.12e+001 9.60e+002  -0.4 4.63e+000    -  4.63e-001 8.09e-001H  1
  86 3.1463689e+004 2.48e+000 9.72e+002  -0.4 4.88e+000    -  1.00e+000 8.03e-001H  1
  87 2.7524146e+004 1.23e+000 6.95e+002  -0.4 1.50e+000  -1.8 1.77e-001 1.00e+000f  1
  88 2.6046963e+004 1.56e+000 4.50e+002  -0.5 2.72e+000    -  9.92e-001 1.00e+000f  1
  89 2.4761192e+004 2.55e-001 1.89e+002  -0.7 4.63e+000    -  9.93e-001 1.00e+000H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 2.4945729e+004 5.19e+000 7.47e+002  -0.7 5.88e+000    -  8.85e-001 9.72e-001f  1
  91 2.2862269e+004 4.93e+000 4.23e+002  -0.8 4.10e+000    -  9.10e-002 1.00e+000h  1
  92 2.1186054e+004 3.56e+000 8.63e+001  -1.3 4.04e+000    -  1.00e+000 1.00e+000f  1
  93 1.6563743e+004 5.96e+001 7.46e+002  -1.3 1.86e+001    -  7.36e-001 1.00e+000f  1
  94 2.3114473e+004 4.55e+000 7.78e+002  -1.0 8.92e+000    -  1.00e+000 1.00e+000H  1
  95 1.6358993e+004 1.67e+000 4.79e+002  -1.1 4.21e+000    -  3.72e-001 1.00e+000f  1
  96 1.4329485e+004 8.88e+000 2.56e+002  -1.6 5.65e+000    -  1.00e+000 1.00e+000f  1
  97 1.4081506e+004 1.56e+001 2.45e+002  -1.6 1.12e+001    -  1.00e+000 5.00e-001f  2
  98 1.1762488e+004 1.07e+003 2.35e+003  -1.7 8.74e+000    -  9.95e-001 1.00e+000f  1
  99 1.3109219e+004 7.89e+002 2.92e+003  -0.5 2.31e+001  -2.8 1.00e+000 2.93e-001f  1
