2069.4556093226242
3.2666101766840794
This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   672254
Number of nonzeros in inequality constraint Jacobian.:    68250
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    74504
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    74504
                     variables with only upper bounds:        0
Total number of equality constraints.................:    69504
Total number of inequality constraints...............:    28650
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:     1050
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 406 2.3179298e+003 6.83e-007 2.26e-002  -9.4 7.12e-005   1.4 1.00e+000 4.40e-001h  1
 407 2.3179141e+003 8.14e-007 2.87e-001  -8.2 2.14e-004   0.9 1.00e+000 4.77e-001h  1
 408 2.3168068e+003 4.52e-004 2.87e-001  -8.8 7.05e+002    -  2.13e-004 1.12e-004f  1
 409 2.3167990e+003 3.60e-004 2.71e-001  -8.4 2.47e-004   0.9 1.00e+000 2.03e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 410 2.3167699e+003 2.65e-004 3.09e-001  -7.7 7.31e-004   0.4 8.49e-001 2.63e-001h  1
 411 2.3166632e+003 1.83e-004 1.85e-001  -7.9 2.14e-003  -0.1 7.01e-001 3.29e-001h  1
 412 2.3165737e+003 4.93e-005 9.89e-002  -7.5 8.35e-004   0.3 1.00e+000 7.46e-001h  1
 413 2.3164486e+003 5.48e-005 1.89e-001  -7.5 2.42e-003  -0.1 9.32e-001 3.50e-001h  1
 414 2.3127219e+003 5.34e-003 1.88e-001  -7.8 1.27e+003    -  1.75e-004 2.30e-004f  1
 415 2.3126825e+003 1.60e-003 5.62e-002  -7.5 4.95e-004   0.7 1.00e+000 7.01e-001h  1
 416 2.3110391e+003 2.38e-003 7.28e-002  -6.9 2.40e+002    -  2.16e-003 6.38e-004f  1
 417 2.3079311e+003 4.26e-003 1.53e-001  -6.8 1.43e+003    -  1.68e-004 2.48e-004f  1
 418 2.3077908e+003 6.20e-004 8.27e-002  -6.8 1.23e-003   0.2 1.00e+000 8.51e-001h  1
 419 2.3075979e+003 3.47e-004 1.78e-001  -6.9 3.39e-003  -0.3 8.87e-001 3.95e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 420 2.3074163e+003 9.81e-005 1.64e-002  -7.1 1.30e-003   0.1 1.00e+000 1.00e+000h  1
 421 2.3051184e+003 1.51e-003 5.95e-002  -7.2 4.45e+002    -  3.21e-004 5.28e-004f  1
 422 2.3049223e+003 1.49e-004 3.00e-002  -6.8 1.49e-003   0.1 1.00e+000 1.00e+000h  1
 423 2.3006542e+003 5.35e-003 1.15e-001  -7.1 4.22e+002    -  9.49e-004 1.10e-003f  1
 424 2.2996721e+003 5.60e-003 1.36e-001  -6.9 4.20e+002    -  7.59e-004 2.50e-004f  1
 425 2.2951265e+003 1.13e-002 2.95e-001  -7.6 8.57e+002    -  4.30e-004 4.89e-004f  1
 426 2.2951074e+003 1.07e-002 2.88e-001  -8.0 2.73e-003  -0.0 8.37e-001 4.88e-002h  1
 427 2.2950938e+003 2.18e-007 1.88e-002  -7.6 1.14e-004   2.2 1.00e+000 1.00e+000h  1
 428 2.2950836e+003 5.38e-008 2.34e-001  -8.6 1.22e-004   1.7 1.00e+000 7.92e-001h  1
 429 2.2950729e+003 7.34e-008 1.59e-001  -9.8 2.87e-004   1.3 1.00e+000 3.31e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 430 2.2946632e+003 5.06e-005 1.59e-001  -7.8 8.71e+001    -  1.95e-004 4.64e-004f  1
 431 2.2946485e+003 4.04e-005 4.66e-001  -8.1 5.49e-004   0.8 1.00e+000 2.03e-001h  1
 432 2.2929357e+003 9.35e-004 4.66e-001  -6.1 9.96e+001    -  7.37e-004 1.73e-003f  1
 433 2.2928841e+003 6.06e-004 3.23e-001  -7.2 8.86e-004   0.3 1.00e+000 3.52e-001h  1
 434 2.2927413e+003 3.61e-004 1.42e-001  -7.5 2.29e-003  -0.2 9.53e-001 4.15e-001h  1
 435 2.2911719e+003 1.13e-003 1.42e-001  -7.0 4.68e+002    -  4.97e-004 3.44e-004f  1
 436 2.2871876e+003 6.91e-003 1.72e-001  -7.0 2.43e+003    -  1.99e-004 1.98e-004f  1
 437 2.2869716e+003 7.24e-005 2.96e-002  -7.0 2.54e-003   0.2 1.00e+000 1.00e+000h  1
 438 2.2857961e+003 4.29e-004 3.32e-002  -7.0 9.20e+001    -  1.67e-003 1.40e-003f  1
 439 2.2856728e+003 7.54e-005 4.18e-002  -7.6 4.81e-003   0.2 1.00e+000 9.88e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 440 2.2854174e+003 1.95e-004 1.93e-001  -7.8 3.05e-003  -0.3 1.00e+000 5.25e-001h  1
 441 2.2846409e+003 2.22e-004 1.93e-001  -7.0 2.30e+002    -  6.48e-004 4.26e-004f  1
 442 2.2845358e+003 1.95e-004 2.42e-001  -7.0 7.28e-003  -0.4 1.00e+000 2.25e-001h  1
 443 2.2842204e+003 4.47e-004 1.82e-001  -7.3 8.59e-003  -0.9 7.17e-001 2.59e-001h  1
 444 2.2813188e+003 2.76e-003 1.82e-001  -7.3 1.45e+003    -  5.30e-005 2.78e-004f  1
 445 2.2789961e+003 4.34e-003 1.82e-001  -6.8 7.23e+003    -  1.01e-004 4.83e-005f  1
 446 2.2789017e+003 1.84e-005 1.80e-002  -7.5 1.14e-003   0.4 1.00e+000 9.98e-001h  1
 447 2.2771885e+003 8.90e-004 3.18e-002  -8.3 2.02e+002    -  1.77e-004 1.32e-003f  1
 448 2.2771739e+003 2.66e-007 3.79e-003  -8.3 1.13e-004   1.3 1.00e+000 1.00e+000h  1
 449 2.2771529e+003 1.28e-006 4.91e-002  -9.6 2.65e-004   0.8 1.00e+000 5.95e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 450 2.2771217e+003 4.48e-006 9.55e-002 -10.1 7.71e-004   0.3 1.00e+000 3.17e-001h  1
 451 2.2761480e+003 2.87e-004 9.55e-002  -9.2 4.51e+003    -  4.48e-005 3.52e-005f  1
 452 2.2761175e+003 2.06e-004 1.58e-001  -8.5 8.34e-004   0.3 1.00e+000 2.79e-001h  1
 453 2.2760810e+003 1.81e-004 3.82e-001  -8.2 2.57e-003  -0.2 1.00e+000 1.13e-001h  1
 454 2.2743032e+003 1.22e-003 3.82e-001  -8.6 1.95e+003    -  2.32e-004 1.55e-004f  1
 455 2.2742873e+003 8.10e-004 1.34e-001  -8.6 3.49e-004   0.6 1.00e+000 3.36e-001h  1
 456 2.2742226e+003 4.14e-004 2.01e-001  -8.1 1.06e-003   0.2 1.00e+000 4.82e-001h  1
 457 2.2725262e+003 1.32e-003 2.01e-001  -8.2 3.79e+003    -  1.06e-004 7.85e-005f  1
 458 2.2724683e+003 8.16e-004 1.99e-001  -8.2 1.22e-003   0.1 1.00e+000 3.79e-001h  1
 459 2.2722773e+003 4.23e-004 9.25e-002  -7.8 3.58e-003  -0.4 1.00e+000 4.41e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 460 2.2721443e+003 1.25e-004 5.96e-002  -7.8 1.34e-003   0.1 9.92e-001 7.79e-001h  1
 461 2.2721054e+003 5.05e-005 7.15e-002  -7.8 5.00e-004   0.5 1.00e+000 6.17e-001h  1
 462 2.2712206e+003 2.91e-004 7.13e-002  -8.6 1.58e+003    -  6.55e-004 1.02e-004f  1
 463 2.2711506e+003 2.06e-005 9.07e-003  -8.6 5.63e-004   0.4 1.00e+000 9.89e-001h  1
 464 2.2700238e+003 4.53e-004 4.28e-002  -8.4 7.90e+003    -  1.54e-004 2.79e-005f  1
 465 2.2699883e+003 2.47e-004 1.32e-001  -8.3 6.25e-004   0.4 1.00e+000 4.50e-001h  1
 466 2.2678373e+003 2.24e-003 1.32e-001  -8.5 1.83e+003    -  6.10e-004 2.84e-004f  1
 467 2.2677617e+003 4.20e-004 4.91e-002  -8.5 7.53e-004   0.3 1.00e+000 8.10e-001h  1
 468 2.2670165e+003 6.58e-004 6.81e-002  -8.2 1.43e+003    -  6.81e-004 1.28e-004f  1
 469 2.2656664e+003 1.31e-003 1.16e-001  -8.0 3.30e+004    -  3.79e-005 9.17e-006f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 470 2.2632479e+003 3.41e-003 2.03e-001  -8.2 3.72e+004    -  3.52e-006 1.59e-005f  1
 471 2.2626617e+003 3.51e-003 2.25e-001  -8.2 1.30e+004    -  5.43e-005 1.13e-005f  1
 472 2.2612096e+003 4.07e-003 2.81e-001  -8.2 2.02e+004    -  2.24e-005 2.06e-005f  1
 473 2.2611157e+003 1.13e-003 9.43e-002  -8.0 1.06e-003   0.2 1.00e+000 7.20e-001h  1
 474 2.2611079e+003 7.35e-008 2.82e-003  -8.8 4.83e-005   1.5 1.00e+000 1.00e+000h  1
 475 2.2610976e+003 4.06e-007 4.84e-002 -10.3 1.44e-004   1.0 1.00e+000 5.62e-001h  1
 476 2.2610806e+003 1.55e-006 4.61e-002 -10.3 4.29e-004   0.6 1.00e+000 3.24e-001h  1
 477 2.2586212e+003 1.94e-003 9.59e-002  -9.5 3.18e+004    -  1.71e-006 2.25e-005f  1
 478 2.2585565e+003 1.94e-003 9.86e-002  -9.0 3.89e+005    -  1.96e-006 4.97e-008f  1
 479 2.2585271e+003 1.62e-003 1.14e-001  -9.0 1.47e-003   0.0 1.00e+000 1.64e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 480 2.2576162e+003 1.90e-003 1.29e-001  -8.7 3.82e+004    -  1.93e-005 7.41e-006f  1
 481 2.2575628e+003 1.40e-003 1.30e-001  -8.5 1.63e-003  -0.0 4.64e-001 2.68e-001h  1
 482 2.2575583e+003 1.32e-003 2.67e-001  -8.9 6.04e-004   0.4 1.00e+000 5.79e-002h  1
 483 2.2575160e+003 1.06e-003 1.52e-001  -8.5 1.82e-003  -0.1 6.38e-001 1.93e-001h  1
 484 2.2575039e+003 3.05e-007 6.67e-003  -8.9 8.47e-005   1.3 1.00e+000 1.00e+000h  1
 485 2.2574883e+003 1.27e-006 1.57e-002  -9.5 2.53e-004   0.8 1.00e+000 5.06e-001h  1
 486 2.2571873e+003 3.16e-005 1.57e-002  -9.2 1.06e+005    -  7.46e-006 8.96e-007f  1
 487 2.2566639e+003 1.27e-004 3.68e-002  -8.5 4.55e+004    -  1.59e-005 3.62e-006f  1
 488 2.2565972e+003 1.06e-004 1.28e-001  -8.5 2.59e-003  -0.2 1.00e+000 2.19e-001h  1
 489 2.2565950e+003 1.04e-004 1.22e-001 -11.0 9.59e-004   0.2 5.88e-002 1.97e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 490 2.2565409e+003 9.30e-005 1.23e-001  -8.7 2.88e-003  -0.3 4.67e-001 1.59e-001h  1
 491 2.2565023e+003 6.75e-005 1.23e-001  -8.6 1.06e-003   0.2 3.89e-001 3.03e-001h  1
 492 2.2554698e+003 4.44e-004 8.28e-002  -8.4 7.16e+003    -  1.31e-006 4.61e-005f  1
 493 2.2553658e+003 1.37e-004 2.88e-001  -8.4 1.20e-003   0.1 1.00e+000 7.37e-001h  1
 494 2.2553120e+003 1.44e-005 1.02e-001  -8.4 4.54e-004   0.5 1.00e+000 1.00e+000h  1
 495 2.2552259e+003 4.45e-005 1.37e-001  -8.1 1.40e-003   0.0 1.00e+000 5.45e-001h  1
 496 2.2530175e+003 1.81e-003 4.73e-002  -7.9 2.60e+004    -  1.80e-005 2.80e-005f  1
 497 2.2528486e+003 1.82e-003 4.05e-002 -11.0 1.76e+004    -  5.04e-005 3.12e-006f  1
 498 2.2406366e+003 5.72e-002 4.15e-001  -8.5 2.98e+005    -  3.41e-006 1.37e-005f  1
 499 2.2403618e+003 5.72e-002 4.25e-001  -7.8 5.80e+004    -  1.61e-005 1.59e-006f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 500 2.2385839e+003 5.85e-002 4.80e-001  -7.9 1.38e+005    -  1.12e-005 4.68e-006f  1
 501 2.2371561e+003 5.93e-002 5.23e-001  -7.5 1.90e+005    -  1.49e-006 2.86e-006f  1
 502 2.2345205e+003 6.24e-002 5.94e-001  -7.8 3.19e+005    -  6.74e-006 3.38e-006f  1
 503 2.2344698e+003 5.62e-002 5.79e-001  -8.7 2.94e-003  -0.2 6.60e-001 9.95e-002h  1
 504 2.2342476e+003 4.22e-002 3.42e-001  -8.1 6.37e-003  -0.6 1.00e+000 2.50e-001h  1
 505 2.2323609e+003 4.38e-002 3.96e-001 -11.0 6.37e+003    -  2.38e-004 1.27e-004f  1
 506 2.2232261e+003 8.09e-002 6.79e-001  -8.1 5.66e+005    -  4.84e-006 6.90e-006f  1
 507 2.2185485e+003 9.19e-002 8.29e-001  -7.8 4.91e+005    -  1.25e-005 3.92e-006f  1
 508 2.2184623e+003 6.92e-002 6.16e-001  -8.1 6.55e-003   0.2 4.32e-001 2.48e-001h  1
 509 2.2183699e+003 6.92e-002 6.18e-001  -7.7 1.05e+003    -  1.50e-003 3.51e-005h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 510 2.2183158e+003 5.35e-002 4.98e-001  -7.7 4.39e-003   0.1 1.00e+000 2.26e-001h  1
 511 2.2180135e+003 1.82e-004 2.75e-001  -7.2 3.96e-003  -0.4 3.81e-001 1.00e+000h  1
 512 2.2163939e+003 1.36e-003 2.76e-001  -7.8 6.79e+003    -  7.00e-004 9.90e-005f  1
 513 2.2111654e+003 1.62e-002 2.76e-001  -7.8 3.25e+004    -  6.24e-006 6.70e-005f  1
 514 2.2109981e+003 2.99e-004 1.22e-001  -7.6 2.99e-003   0.0 1.00e+000 9.81e-001h  1
 515 2.2107266e+003 4.19e-004 7.05e-002  -7.1 3.80e-003  -0.5 1.00e+000 7.86e-001h  1
 516 2.2105670e+003 1.10e-004 2.96e-002  -7.6 2.57e-003  -0.0 1.00e+000 9.94e-001h  1
 517 2.2094805e+003 6.35e-004 3.05e-002  -7.7 1.35e+003    -  1.15e-003 3.21e-004f  1
 518 2.2062612e+003 6.60e-003 1.41e-001  -7.2 2.60e+004    -  5.03e-005 2.66e-005f  1
 519 2.2034930e+003 1.11e-002 2.32e-001  -7.3 8.91e+003    -  1.52e-004 6.83e-005f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 520 2.1999748e+003 1.95e-002 3.38e-001  -8.1 9.14e+003    -  1.44e-004 9.19e-005f  1
 521 2.1998119e+003 1.95e-002 3.42e-001  -8.1 3.97e+003    -  6.16e-004 1.07e-005f  1
 522 2.1916483e+003 8.39e-002 6.30e-001  -9.2 2.63e+004    -  5.18e-005 8.44e-005f  1
 523 2.1915822e+003 6.05e-002 3.74e-001  -7.3 5.21e-003   0.2 1.00e+000 2.79e-001h  1
 524 2.1913759e+003 6.05e-002 3.77e-001  -5.3 2.35e+002    -  2.26e-004 2.45e-004h  1
 525 2.1916148e+003 2.59e-002 2.24e-001  -7.3 1.22e-002  -0.2 9.06e-001 5.72e-001h  1
 526 2.1911994e+003 2.61e-002 2.33e-001  -5.3 7.16e+002    -  1.19e-004 1.62e-004h  1
 527 2.1909088e+003 3.86e-006 9.03e-002  -7.6 2.40e-003   1.1 9.88e-001 1.00e+000h  1
 528 2.1903922e+003 2.92e-004 1.01e-001  -5.6 7.89e+002    -  2.53e-004 1.83e-004f  1
 529 2.1902048e+003 1.17e-005 3.26e-002  -7.3 2.26e-003   0.6 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 530 2.1901364e+003 7.33e-006 2.99e-002  -8.4 1.54e-003   0.1 1.00e+000 6.91e-001h  1
 531 2.1900768e+003 9.21e-006 3.39e-002  -8.9 1.76e-003  -0.3 1.00e+000 3.66e-001h  1
 532 2.1894219e+003 4.41e-004 3.38e-002  -9.1 2.89e+002    -  1.13e-003 6.09e-004f  1
 533 2.1894155e+003 7.68e-008 5.81e-003  -8.3 5.89e-005   1.4 1.00e+000 1.00e+000h  1
 534 2.1894059e+003 2.76e-007 4.99e-002  -9.7 1.74e-004   0.9 1.00e+000 5.57e-001h  1
 535 2.1893882e+003 1.50e-006 6.45e-002 -11.0 5.17e-004   0.5 1.00e+000 3.68e-001h  1
 536 2.1893785e+003 1.11e-006 3.85e-002  -9.4 1.95e-004   0.9 1.00e+000 5.38e-001h  1
 537 2.1879888e+003 2.02e-003 5.34e-002  -9.6 1.49e+005    -  3.36e-006 2.50e-006f  1
 538 2.1879607e+003 1.66e-003 1.32e-001  -8.7 1.76e-003  -0.1 9.93e-001 1.79e-001h  1
 539 2.1865495e+003 3.71e-003 1.32e-001  -8.7 7.09e+004    -  3.72e-006 5.31e-006f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 540 2.1865252e+003 1.31e-006 2.34e-003  -8.8 2.40e-004   0.8 1.00e+000 1.00e+000h  1
 541 2.1862589e+003 7.68e-005 2.21e-002 -11.0 2.53e+001    -  1.89e-003 4.23e-004f  1
 542 2.1856677e+003 2.95e-004 5.92e-002  -8.6 7.81e+001    -  2.83e-004 5.54e-004f  1
 543 2.1854149e+003 3.34e-004 7.34e-002  -8.6 2.86e+002    -  8.88e-005 7.83e-005f  1
 544 2.1849055e+003 4.65e-004 9.30e-002  -8.5 3.30e+002    -  1.34e-004 1.64e-004f  1
 545 2.1848253e+003 4.67e-004 9.54e-002  -9.1 3.23e+002    -  6.95e-005 2.97e-005f  1
 546 2.1844851e+003 5.19e-004 1.08e-001  -9.1 9.44e+002    -  2.28e-005 4.11e-005f  1
 547 2.1844836e+003 4.60e-004 1.48e-001  -9.1 1.54e-004   1.1 1.00e+000 1.13e-001h  1
 548 2.1844550e+003 9.20e-005 1.32e-001  -8.1 4.33e-004   0.6 4.58e-001 8.01e-001h  1
 549 2.1841630e+003 1.31e-004 1.32e-001  -7.9 1.80e+002    -  3.12e-004 1.88e-004f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 550 2.1832177e+003 5.27e-004 1.32e-001  -7.7 1.33e+003    -  5.93e-005 8.60e-005f  1
 551 2.1827618e+003 6.22e-004 1.32e-001  -8.0 1.32e+003    -  2.19e-004 4.20e-005f  1
 552 2.1827165e+003 9.14e-006 1.04e-002  -8.1 5.14e-004   0.5 1.00e+000 1.00e+000h  1
 553 2.1826152e+003 6.05e-005 1.02e-002  -7.7 1.51e-003  -0.0 7.63e-001 8.41e-001h  1
 554 2.1815908e+003 4.74e-004 3.34e-002  -7.4 2.95e+002    -  1.03e-003 4.27e-004f  1
 555 2.1815691e+003 9.89e-007 1.41e-002  -8.4 2.74e-004   0.8 1.00e+000 1.00e+000h  1
 556 2.1815377e+003 4.62e-006 2.82e-002  -8.9 6.40e-004   0.4 1.00e+000 5.94e-001h  1
 557 2.1814533e+003 3.92e-005 1.62e-002  -8.9 1.90e-003  -0.1 1.00e+000 5.46e-001h  1
 558 2.1808983e+003 1.36e-004 3.67e-002  -8.5 2.27e+003    -  1.84e-004 3.09e-005f  1
 559 2.1795923e+003 7.91e-004 8.11e-002  -8.2 3.66e+003    -  1.21e-004 4.81e-005f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 560 2.1795816e+003 4.88e-006 5.57e-003  -9.2 1.58e-004   1.2 1.00e+000 9.94e-001h  1
 561 2.1795561e+003 2.92e-006 1.79e-003  -9.3 3.56e-004   0.7 1.00e+000 9.60e-001h  1
 562 2.1795525e+003 1.87e-006 2.17e-002  -9.3 1.28e-004   1.1 1.00e+000 3.85e-001h  1
 563 2.1795295e+003 3.09e-006 5.40e-003  -9.3 3.80e-004   0.6 1.00e+000 8.22e-001h  1
 564 2.1795192e+003 5.75e-007 1.62e-003 -10.2 1.38e-004   1.1 1.00e+000 9.91e-001h  1
 565 2.1795154e+003 8.75e-008 1.64e-003 -10.5 5.23e-005   1.5 1.00e+000 9.81e-001h  1
 566 2.1795101e+003 1.98e-007 2.15e-002 -10.6 1.55e-004   1.0 1.00e+000 4.56e-001h  1
 567 2.1794896e+003 2.38e-006 2.03e-002 -10.7 4.59e-004   0.5 1.00e+000 5.96e-001h  1
 568 2.1794869e+003 1.92e-006 3.33e-002 -10.7 1.71e-004   1.0 1.00e+000 2.10e-001h  1
 569 2.1794820e+003 1.28e-007 1.60e-003 -11.0 6.45e-005   1.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 570 2.1794751e+003 3.29e-007 1.83e-002 -10.4 1.92e-004   0.9 1.00e+000 4.78e-001h  1
 571 2.1794737e+003 3.30e-007 6.37e-002 -10.9 5.69e-004   0.4 1.00e+000 3.28e-002h  1
 572 2.1794631e+003 9.17e-007 2.04e-001  -9.9 1.67e-003  -0.0 4.25e-001 8.19e-002h  1
 573 2.1794461e+003 2.20e-006 2.02e-001  -9.9 6.56e-004   0.4 2.74e-001 3.51e-001h  1
 574 2.1793486e+003 7.26e-006 2.02e-001  -9.2 5.27e+001    -  3.01e-004 1.11e-004f  1
 575 2.1793463e+003 6.95e-006 3.79e-001  -9.5 7.08e-004   0.3 4.30e-001 4.23e-002h  1
 576 2.1791530e+003 3.22e-005 3.79e-001  -9.7 1.45e+002    -  2.70e-004 1.20e-004f  1
 577 2.1789492e+003 5.42e-005 3.79e-001  -9.9 4.67e+002    -  7.03e-005 4.86e-005f  1
 578 2.1786597e+003 9.20e-005 3.79e-001  -9.4 1.00e+003    -  4.55e-005 3.58e-005f  1
 579 2.1786555e+003 4.79e-005 9.05e-002 -10.0 1.21e-004   1.1 1.00e+000 4.80e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 580 2.1786381e+003 1.57e-005 5.64e-002  -9.3 3.59e-004   0.7 4.99e-001 6.75e-001h  1
 581 2.1786170e+003 1.16e-005 1.97e-001  -9.1 1.04e-003   0.2 7.66e-001 2.74e-001h  1
 582 2.1785462e+003 3.13e-005 8.91e-002  -8.4 3.15e-003  -0.3 3.93e-001 3.12e-001h  1
 583 2.1785007e+003 2.65e-005 1.29e-001  -8.7 1.14e-003   0.1 9.91e-001 5.29e-001h  1
 584 2.1782079e+003 4.11e-005 1.29e-001 -11.0 1.25e+003    -  1.53e-004 3.06e-005f  1
 585 2.1781761e+003 2.92e-005 7.63e-002  -8.1 1.25e-003   0.1 1.00e+000 3.36e-001h  1
 586 2.1781481e+003 3.10e-005 1.06e-001  -8.3 3.86e-003  -0.4 5.33e-001 9.78e-002h  1
 587 2.1781343e+003 9.95e-007 1.54e-003  -8.9 1.79e-004   0.9 1.00e+000 9.98e-001h  1
 588 2.1781130e+003 3.05e-006 1.38e-002  -9.2 5.42e-004   0.5 1.00e+000 5.27e-001h  1
 589 2.1770312e+003 5.60e-004 5.02e-002  -8.6 8.75e+003    -  4.49e-005 1.60e-005f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 590 2.1768606e+003 5.70e-004 5.62e-002  -8.6 2.25e+003    -  2.15e-004 1.11e-005f  1
 591 2.1768430e+003 1.72e-006 1.38e-001  -8.7 2.61e-004   0.8 6.04e-001 1.00e+000h  1
 592 2.1765059e+003 4.55e-005 1.38e-001  -8.4 2.46e+002    -  1.56e-003 1.93e-004f  1
 593 2.1757275e+003 2.57e-004 1.38e-001  -8.3 2.57e+003    -  1.41e-004 4.59e-005f  1
 594 2.1752916e+003 3.31e-004 1.38e-001  -8.3 8.34e+002    -  9.11e-004 8.26e-005f  1
 595 2.1737726e+003 1.08e-003 1.38e-001  -8.2 2.32e+002    -  2.18e-003 1.02e-003f  1
 596 2.1730784e+003 1.25e-003 1.38e-001  -8.4 1.40e+003    -  2.48e-004 7.66e-005f  1
 597 2.1715226e+003 2.11e-003 1.54e-001  -8.3 6.05e+003    -  5.77e-005 4.05e-005f  1
 598 2.1710614e+003 2.18e-003 1.64e-001  -8.4 1.80e+003    -  4.18e-004 4.19e-005f  1
 599 2.1710604e+003 2.12e-003 1.60e-001 -11.0 5.29e-004   0.6 5.27e-001 2.73e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 600 2.1710244e+003 1.26e-003 9.66e-002  -8.4 1.04e-003   0.1 1.00e+000 4.04e-001h  1
 601 2.1700724e+003 1.59e-003 1.08e-001  -7.6 2.54e+002    -  2.14e-003 6.12e-004f  1
 602 2.1700452e+003 1.12e-003 8.06e-002  -7.7 1.37e-003   0.1 3.91e-001 2.94e-001h  1
 603 2.1700090e+003 6.41e-006 6.38e-003  -8.4 4.66e-004   0.5 1.00e+000 1.00e+000h  1
 604 2.1699638e+003 1.65e-005 3.15e-002  -8.5 1.32e-003   0.0 1.00e+000 4.64e-001h  1
 605 2.1694938e+003 8.23e-005 3.15e-002  -8.2 3.15e+003    -  2.45e-004 2.42e-005f  1
 606 2.1694518e+003 5.34e-005 1.04e-001  -8.2 1.54e-003  -0.0 8.52e-001 3.76e-001h  1
 607 2.1694176e+003 1.37e-005 2.32e-002  -8.0 5.68e-004   0.4 1.00e+000 8.40e-001h  1
 608 2.1683002e+003 5.06e-004 3.29e-002  -8.0 4.86e+003    -  1.53e-004 4.04e-005f  1
 609 2.1657814e+003 3.95e-003 1.03e-001  -8.5 1.04e+004    -  6.68e-005 4.52e-005f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 610 2.1657758e+003 5.07e-008 3.39e-003  -8.1 7.62e-005   1.7 1.00e+000 1.00e+000h  1
 611 2.1655448e+003 2.30e-005 7.14e-002  -6.1 1.57e+002    -  2.33e-003 2.59e-004f  1
 612 2.1655354e+003 1.11e-006 4.54e-003  -8.3 1.49e-004   1.2 1.00e+000 9.56e-001h  1
 613 2.1655124e+003 2.66e-006 1.52e-003  -8.4 2.73e-004   0.7 9.98e-001 1.00e+000h  1
 614 2.1645072e+003 4.29e-004 1.64e-002  -9.0 3.65e+002    -  4.94e-005 4.80e-004f  1
 615 2.1639141e+003 5.77e-004 3.34e-002  -8.7 4.71e+003    -  1.38e-005 2.03e-005f  1
 616 2.1638451e+003 3.27e-005 2.82e-002  -8.1 9.41e-004   0.2 1.00e+000 1.00e+000h  1
 617 2.1636590e+003 3.00e-004 1.29e-002  -7.6 2.67e-003  -0.3 8.67e-001 1.00e+000h  1
 618 2.1621870e+003 1.06e-003 4.75e-002  -7.3 1.66e+003    -  3.32e-004 1.56e-004f  1
 619 2.1568074e+003 1.50e-002 1.87e-001  -7.6 1.74e+004    -  8.20e-006 5.48e-005f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 620 2.1564446e+003 1.50e-002 1.96e-001  -7.4 6.29e+003    -  4.02e-004 1.05e-005f  1
